"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","over50"
54," ?",32385," HS-grad",9," Divorced"," ?"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
21," Private",222993," HS-grad",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
41," Private",119721," HS-grad",9," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",200677," 10th",6," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
30," Private",170130," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
30," Private",267161," Some-college",10," Married-civ-spouse"," Tech-support"," Wife"," Black"," Female",0,0,45," United-States"," <=50K"
63," ?",257876," Prof-school",15," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
28," Private",119793," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
58," Self-emp-not-inc",143731," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,72," United-States"," >50K"
40," Private",284303," Some-college",10," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",7688,0,40," United-States"," >50K"
43," Private",238530," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
48," Private",265295," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
66," Local-gov",54826," Assoc-voc",11," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
50," Self-emp-inc",155574," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7298,0,50," United-States"," >50K"
65," ?",143732," HS-grad",9," Widowed"," ?"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
37," Private",164898," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,52," United-States"," <=50K"
24," Private",234640," HS-grad",9," Married-spouse-absent"," Sales"," Own-child"," White"," Female",0,0,36," United-States"," <=50K"
52," Private",159670," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
27," Self-emp-not-inc",357283," HS-grad",9," Never-married"," Sales"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
20," Private",148509," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
67," ?",188903," 7th-8th",4," Married-civ-spouse"," ?"," Husband"," White"," Male",2414,0,40," United-States"," <=50K"
34," ?",286689," Masters",14," Never-married"," ?"," Not-in-family"," White"," Male",4650,0,30," United-States"," <=50K"
44," Self-emp-inc",103643," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",5013,0,60," Greece"," <=50K"
